Income;Age;Sex;Region;Employment;Retailer
£20000-£29999;25-34;Male;East Midlands;Retired;Other
£20000-£29999;18-24;Male;Yorkshire;Retired;Other
£30000-£39999;18-24;Female;South-West;Retired;Other
£30000-£39999;18-24;Male;London;Permanent-Part-time-Employment;Other
£30000-£39999;18-24;Male;North West;Permanent-Full-time-Employment;Other
£20000-£29999;18-24;Female;Yorkshire;Retired;Other
£40000-£49999;18-24;Male;Scotland;Permanent-Full-time-Employment;Other
£50000-£59999;45-54;Male;Wales;Unpaid-Employment;Other
<£10000;45-54;Female;East Midlands;Permanent-Part-time-Employment;Other
£10000-£14999;25-34;Male;London;Self-employed-.-Freelance;Other
<£10000;25-34;Male;North West;Self-employed-.-Freelance;Other
£40000-£49999;18-24;Female;North-East;Permanent-Full-time-Employment;Other
£30000-£39999;45-54;Female;North West;Permanent-Full-time-Employment;Other
£20000-£29999;55+;Male;South-West;Retired;Other
£20000-£29999;45-54;Male;London;Permanent-Full-time-Employment;Other
£30000-£39999;45-54;Male;South-West;Permanent-Full-time-Employment;Other
£10000-£14999;45-54;Male;London;House-Wife-Or;Other
£30000-£39999;45-54;Female;London;House-Wife-Or;Other
£10000-£14999;25-34;Male;South East;House-Wife-Or;Other
£20000-£29999;18-24;Female;South-West;Permanent-Full-time-Employment;Other
£20000-£29999;35-44;Female;London;Permanent-Full-time-Employment;Other
£40000-£49999;45-54;Male;South-West;Retired;Other
£50000-£59999;45-54;Male;London;Retired;Other
£15000-£19999;18-24;Female;West-Midlands;Permanent-Full-time-Employment;Other
£50000-£59999;55+;Male;North West;House-Wife-Or;Other
£10000-£14999;25-34;Female;South East;Permanent-Full-time-Employment;Other
£50000-£59999;25-34;Female;East Midlands;Permanent-Full-time-Employment;Other
£40000-£49999;18-24;Female;Yorkshire;Retired;Other
<£10000;25-34;Male;Yorkshire;Retired;Other
£10000-£14999;35-44;Female;Yorkshire;Retired;Other
£20000-£29999;25-34;Male;South East;Permanent-Full-time-Employment;Other
£10000-£14999;45-54;Male;Wales;Without-Work;Other
£30000-£39999;18-24;Male;South East;Permanent-Full-time-Employment;Other
<£10000;18-24;Female;London;Permanent-Full-time-Employment;Other
<£10000;25-34;Male;North West;Permanent-Full-time-Employment;Other
£20000-£29999;25-34;Female;London;House-Wife-Or;Other
£20000-£29999;45-54;Female;North West;Retired;Other
£10000-£14999;25-34;Male;North West;Retired;Other
£15000-£19999;18-24;Male;East;Permanent-Part-time-Employment;Other
£40000-£49999;55+;Female;South East;Permanent-Part-time-Employment;Other
£20000-£29999;45-54;Female;Scotland;Permanent-Full-time-Employment;Other
£50000-£59999;18-24;Female;South East;House-Wife-Or;Other
<£10000;35-44;Male;West-Midlands;Without-Work;Other
£15000-£19999;35-44;Male;London;Unpaid-Employment;Other
<£10000;25-34;Female;East;Retired;Other
£20000-£29999;18-24;Male;South East;Permanent-Full-time-Employment;Other
£15000-£19999;55+;Female;East Midlands;Permanent-Full-time-Employment;Other
£30000-£39999;25-34;Female;Yorkshire;Permanent-Full-time-Employment;Other
£30000-£39999;45-54;Female;South-West;Retired;Other
<£10000;45-54;Male;West-Midlands;Permanent-Full-time-Employment;Other
£20000-£29999;45-54;Female;Scotland;Permanent-Full-time-Employment;Other
£15000-£19999;35-44;Male;South East;Permanent-Full-time-Employment;Other
<£10000;25-34;Female;Wales;Permanent-Full-time-Employment;Other
£15000-£19999;55+;Male;East Midlands;Permanent-Full-time-Employment;Other
£40000-£49999;45-54;Male;South East;Permanent-Full-time-Employment;Other
<£10000;25-34;Female;North West;Permanent-Full-time-Employment;Other
£30000-£39999;55+;Female;London;Retired;Other
£20000-£29999;18-24;Male;Wales;Unable-to-Work;Other
£30000-£39999;45-54;Female;London;Permanent-Full-time-Employment;Other
£20000-£29999;25-34;Female;North West;Permanent-Full-time-Employment;Other
£30000-£39999;45-54;Male;London;Retired;Other
£30000-£39999;18-24;Male;East;House-Wife-Or;Other
£50000-£59999;18-24;Female;East Midlands;Unable-to-Work;Other
£15000-£19999;25-34;Female;South East;Permanent-Full-time-Employment;Other
£20000-£29999;55+;Male;London;Permanent-Part-time-Employment;Other
£10000-£14999;25-34;Female;South East;Permanent-Full-time-Employment;Other
£15000-£19999;18-24;Male;North West;House-Wife-Or;Other
<£10000;18-24;Female;South East;Permanent-Full-time-Employment;Other
£20000-£29999;35-44;Female;North West;Permanent-Full-time-Employment;Other
£70000-£99999;18-24;Male;East;House-Wife-Or;Other
£10000-£14999;25-34;Male;London;Student-Or-Internship;Other
£20000-£29999;35-44;Male;West-Midlands;Permanent-Full-time-Employment;Other
<£10000;45-54;Female;North West;Retired;Other
£10000-£14999;45-54;Female;North-East;Retired;Other
£15000-£19999;45-54;Male;Scotland;Permanent-Full-time-Employment;Other
<£10000;25-34;Female;London;Permanent-Full-time-Employment;Other
<£10000;18-24;Male;North West;Unable-to-Work;Other
<£10000;18-24;Female;Wales;Unable-to-Work;Other
£20000-£29999;45-54;Female;South-West;Retired;Other
£20000-£29999;45-54;Female;North West;Self-employed-.-Freelance;Other
£20000-£29999;18-24;Male;North West;Permanent-Full-time-Employment;Other
£10000-£14999;35-44;Female;Wales;Self-employed-.-Freelance;Other
<£10000;35-44;Female;Scotland;Permanent-Full-time-Employment;Other
<£10000;45-54;Female;East Midlands;Student-Or-Internship;Other
£10000-£14999;45-54;Male;Scotland;Permanent-Full-time-Employment;Other
<£10000;55+;Male;West-Midlands;Student-Or-Internship;Other
£10000-£14999;25-34;Female;Yorkshire;Permanent-Full-time-Employment;Other
<£10000;35-44;Male;East Midlands;Retired;Other
£20000-£29999;55+;Male;London;Student-Or-Internship;Other
£30000-£39999;55+;Male;North West;Permanent-Full-time-Employment;Other
£20000-£29999;45-54;Male;East;Permanent-Full-time-Employment;Other
£40000-£49999;45-54;Female;West-Midlands;Permanent-Full-time-Employment;Other
£20000-£29999;45-54;Male;North West;Without-Work;Other
£20000-£29999;45-54;Female;West-Midlands;Permanent-Full-time-Employment;Other
£40000-£49999;55+;Male;West-Midlands;Permanent-Full-time-Employment;Other
£60000-£69999;25-34;Male;East Midlands;Self-employed-.-Freelance;Other
£30000-£39999;25-34;Female;South East;Permanent-Full-time-Employment;Other
£30000-£39999;45-54;Male;East Midlands;Self-employed-.-Freelance;Other
<£10000;45-54;Female;Yorkshire;Self-employed-.-Freelance;Other
£10000-£14999;25-34;Male;Yorkshire;Student-Or-Internship;Other
£30000-£39999;18-24;Female;North West;Retired;Other
£40000-£49999;18-24;Female;South East;Permanent-Full-time-Employment;Other
£20000-£29999;35-44;Male;London;House-Wife-Or;Other
<£10000;45-54;Female;East;Permanent-Full-time-Employment;Other
£15000-£19999;55+;Female;South East;Without-Work;Other
£20000-£29999;45-54;Male;East Midlands;Unable-to-Work;Other
£20000-£29999;25-34;Female;North West;Permanent-Part-time-Employment;Other
£10000-£14999;18-24;Male;West-Midlands;Permanent-Part-time-Employment;Other
<£10000;25-34;Male;North West;Without-Work;Other
£10000-£14999;18-24;Female;East;Without-Work;Other
£30000-£39999;35-44;Male;Yorkshire;Permanent-Full-time-Employment;Other
£20000-£29999;55+;Female;South East;Unpaid-Employment;Other
<£10000;55+;Male;North West;House-Wife-Or;Other
£30000-£39999;55+;Female;London;Retired;Other
£20000-£29999;45-54;Male;South East;Retired;Other
£20000-£29999;55+;Female;West-Midlands;Permanent-Part-time-Employment;Other
£10000-£14999;18-24;Female;North West;Self-employed-.-Freelance;Other
£20000-£29999;18-24;Female;London;Permanent-Full-time-Employment;Other
<£10000;55+;Male;North West;Permanent-Full-time-Employment;Other
£10000-£14999;45-54;Male;London;Retired;Other
<£10000;18-24;Female;North West;Permanent-Full-time-Employment;Other
£15000-£19999;55+;Female;East;Retired;Other
£20000-£29999;25-34;Male;South East;Permanent-Full-time-Employment;Other
£20000-£29999;35-44;Male;London;Student-Or-Internship;Other
£30000-£39999;35-44;Male;South East;Without-Work;Other
£15000-£19999;35-44;Male;London;House-Wife-Or;Other
£15000-£19999;45-54;Male;Scotland;Permanent-Full-time-Employment;Other
£20000-£29999;35-44;Male;West-Midlands;Permanent-Part-time-Employment;Other
£40000-£49999;18-24;Male;South East;Permanent-Full-time-Employment;Other
<£10000;35-44;Male;East Midlands;Permanent-Full-time-Employment;Other
£10000-£14999;55+;Male;East;Permanent-Full-time-Employment;Other
£20000-£29999;25-34;Male;Yorkshire;Permanent-Full-time-Employment;Other
£50000-£59999;45-54;Male;South-West;House-Wife-Or;Other
<£10000;18-24;Male;Yorkshire;Self-employed-.-Freelance;Other
£20000-£29999;35-44;Male;London;Permanent-Full-time-Employment;Other
£20000-£29999;18-24;Female;East;Permanent-Full-time-Employment;Other
<£10000;45-54;Female;Yorkshire;Without-Work;Other
£15000-£19999;18-24;Female;South-West;Permanent-Full-time-Employment;Other
£20000-£29999;55+;Female;London;Retired;Other
£20000-£29999;55+;Male;Northern-Ireland;Self-employed-.-Freelance;Other
£15000-£19999;45-54;Female;Yorkshire;House-Wife-Or;Other
£10000-£14999;25-34;Female;North West;Permanent-Full-time-Employment;Other
<£10000;35-44;Female;South East;Permanent-Full-time-Employment;Other
£20000-£29999;45-54;Male;South East;Permanent-Full-time-Employment;Other
<£10000;45-54;Female;South-West;Permanent-Full-time-Employment;Other
£30000-£39999;18-24;Female;Yorkshire;Student-Or-Internship;Other
£15000-£19999;35-44;Male;South East;Retired;Other
£20000-£29999;55+;Female;London;Permanent-Part-time-Employment;Other
£20000-£29999;25-34;Male;South East;Without-Work;Other
£40000-£49999;35-44;Male;Wales;Unable-to-Work;Other
£10000-£14999;25-34;Female;Yorkshire;House-Wife-Or;Other
£30000-£39999;25-34;Male;London;Permanent-Full-time-Employment;Other
£40000-£49999;55+;Female;South East;Retired;Other
<£10000;35-44;Female;South-West;Retired;Other
£30000-£39999;55+;Male;West-Midlands;Retired;Other
£50000-£59999;35-44;Female;London;Permanent-Full-time-Employment;Other
£30000-£39999;45-54;Female;North West;Unable-to-Work;Other
£20000-£29999;25-34;Male;South-West;Without-Work;Other
<£10000;18-24;Male;North West;Permanent-Full-time-Employment;Other
<£10000;45-54;Male;East;Permanent-Part-time-Employment;Other
£10000-£14999;25-34;Male;South-West;Without-Work;Other
£10000-£14999;35-44;Female;South East;Retired;Other
£10000-£14999;45-54;Female;Scotland;Unable-to-Work;Other
<£10000;35-44;Male;South East;Permanent-Full-time-Employment;Other
<£10000;18-24;Male;South-West;Permanent-Full-time-Employment;Other
<£10000;35-44;Female;Scotland;Unable-to-Work;Other
£20000-£29999;18-24;Male;South East;Permanent-Full-time-Employment;Other
£20000-£29999;45-54;Male;East Midlands;Without-Work;Other
£10000-£14999;18-24;Male;North West;Retired;Other
<£10000;18-24;Male;Scotland;Permanent-Full-time-Employment;Other
£15000-£19999;25-34;Male;East;Permanent-Full-time-Employment;Other
£15000-£19999;55+;Male;North West;Retired;Other
£10000-£14999;25-34;Male;North West;Retired;Other
£20000-£29999;55+;Male;Wales;Permanent-Full-time-Employment;Other
£40000-£49999;55+;Male;Yorkshire;Temporary Work;Other
£20000-£29999;35-44;Female;North West;Retired;Other
£15000-£19999;25-34;Male;North West;Student-Or-Internship;Other
£10000-£14999;45-54;Male;Scotland;Permanent-Part-time-Employment;Other
£15000-£19999;55+;Male;North West;Permanent-Full-time-Employment;Other
<£10000;35-44;Female;North West;Permanent-Full-time-Employment;Other
£20000-£29999;45-54;Male;South East;House-Wife-Or;Other
£60000-£69999;55+;Female;West-Midlands;Retired;Other
£20000-£29999;55+;Male;Yorkshire;Permanent-Part-time-Employment;Other
£10000-£14999;55+;Female;London;Permanent-Full-time-Employment;Other
£10000-£14999;25-34;Male;London;Student-Or-Internship;Other
£20000-£29999;55+;Male;Scotland;Self-employed-.-Freelance;Other
£15000-£19999;25-34;Female;West-Midlands;House-Wife-Or;Other
£10000-£14999;55+;Female;London;Without-Work;Other
£20000-£29999;25-34;Male;Yorkshire;Student-Or-Internship;Other
£15000-£19999;25-34;Male;South-West;Permanent-Part-time-Employment;Other
£10000-£14999;18-24;Male;North West;Temporary Work;Other
£20000-£29999;35-44;Male;North West;Self-employed-.-Freelance;Other
£60000-£69999;45-54;Female;South-West;Self-employed-.-Freelance;Other
£15000-£19999;45-54;Male;North West;House-Wife-Or;Other
<£10000;35-44;Male;Northern-Ireland;Permanent-Part-time-Employment;Other
£40000-£49999;55+;Female;East;Permanent-Full-time-Employment;Other
£15000-£19999;55+;Male;East;Self-employed-.-Freelance;Other
£40000-£49999;35-44;Female;London;House-Wife-Or;Other
<£10000;18-24;Female;North West;Retired;Other
£20000-£29999;18-24;Male;East;Student-Or-Internship;Other
<£10000;45-54;Female;South-West;Unpaid-Employment;Other
<£10000;45-54;Male;Scotland;Permanent-Full-time-Employment;Other
<£10000;55+;Female;London;Self-employed-.-Freelance;Other
£15000-£19999;55+;Male;Scotland;Permanent-Full-time-Employment;Other
£50000-£59999;25-34;Female;South-West;Permanent-Part-time-Employment;Other
£20000-£29999;25-34;Male;London;Permanent-Full-time-Employment;Other
£10000-£14999;35-44;Male;North West;Without-Work;Other
£20000-£29999;45-54;Male;Yorkshire;Without-Work;Other
£10000-£14999;18-24;Female;North West;Permanent-Full-time-Employment;Other
£10000-£14999;55+;Male;West-Midlands;Self-employed-.-Freelance;Other
£20000-£29999;25-34;Female;London;Without-Work;Other
£15000-£19999;18-24;Male;London;Student-Or-Internship;Other
£40000-£49999;18-24;Female;West-Midlands;Self-employed-.-Freelance;Other
£40000-£49999;55+;Male;North West;Retired;Other
£20000-£29999;35-44;Male;West-Midlands;Retired;Other
£30000-£39999;35-44;Male;Wales;Retired;Other
£20000-£29999;18-24;Male;North West;Permanent-Full-time-Employment;Other
£20000-£29999;18-24;Female;East;Retired;Other
£50000-£59999;35-44;Female;Wales;Student-Or-Internship;Other
£10000-£14999;55+;Female;London;Self-employed-.-Freelance;Other
£50000-£59999;18-24;Male;South East;Permanent-Part-time-Employment;Other
<£10000;35-44;Female;Scotland;Permanent-Part-time-Employment;Other
£20000-£29999;18-24;Male;Yorkshire;Permanent-Part-time-Employment;Other
<£10000;25-34;Male;South East;Unpaid-Employment;Other
£15000-£19999;18-24;Male;London;Retired;Other
£20000-£29999;35-44;Female;Scotland;Retired;Other
£20000-£29999;35-44;Male;West-Midlands;Unable-to-Work;Other
£15000-£19999;35-44;Female;South East;Permanent-Part-time-Employment;Other
£10000-£14999;35-44;Female;South-West;Permanent-Full-time-Employment;Other
£20000-£29999;45-54;Female;South East;Permanent-Part-time-Employment;Other
£15000-£19999;45-54;Male;London;Permanent-Full-time-Employment;Other
£10000-£14999;25-34;Male;South-West;Permanent-Full-time-Employment;Other
<£10000;35-44;Male;East;House-Wife-Or;Other
<£10000;25-34;Male;London;House-Wife-Or;Other
£15000-£19999;25-34;Female;Yorkshire;Permanent-Full-time-Employment;Other
£20000-£29999;35-44;Female;North West;Permanent-Full-time-Employment;Other
£20000-£29999;35-44;Female;Yorkshire;Permanent-Full-time-Employment;Other
<£10000;18-24;Female;East;House-Wife-Or;Other
£20000-£29999;18-24;Male;South East;Student-Or-Internship;Other
<£10000;25-34;Female;London;Retired;Other
£10000-£14999;45-54;Female;South East;Permanent-Full-time-Employment;Other
£20000-£29999;35-44;Female;North West;Permanent-Full-time-Employment;Other
£10000-£14999;55+;Male;London;Permanent-Full-time-Employment;Other
£20000-£29999;55+;Female;South-West;Permanent-Full-time-Employment;Other
£10000-£14999;55+;Female;East;Permanent-Full-time-Employment;Other
£40000-£49999;25-34;Female;Yorkshire;Permanent-Full-time-Employment;Other
<£10000;45-54;Female;London;House-Wife-Or;Other
£30000-£39999;25-34;Male;West-Midlands;Permanent-Full-time-Employment;Other
£20000-£29999;25-34;Male;London;Permanent-Full-time-Employment;Other
£15000-£19999;25-34;Female;Yorkshire;Permanent-Full-time-Employment;Other
£40000-£49999;45-54;Male;North West;House-Wife-Or;Other
£20000-£29999;55+;Female;West-Midlands;House-Wife-Or;Other
<£10000;18-24;Female;Scotland;Permanent-Full-time-Employment;Other
£15000-£19999;55+;Male;London;Retired;Other
£10000-£14999;35-44;Female;North West;Unable-to-Work;Other
£10000-£14999;55+;Male;North West;Permanent-Full-time-Employment;Other
£15000-£19999;25-34;Female;Northern-Ireland;Permanent-Full-time-Employment;Other
<£10000;55+;Female;South-West;Permanent-Full-time-Employment;Other
£20000-£29999;55+;Male;Wales;Permanent-Part-time-Employment;Other
£30000-£39999;25-34;Female;London;Permanent-Full-time-Employment;Other
£10000-£14999;55+;Male;West-Midlands;Unable-to-Work;Other
<£10000;35-44;Male;Scotland;Permanent-Full-time-Employment;Other
£10000-£14999;55+;Male;South East;Student-Or-Internship;Other
£15000-£19999;55+;Male;East Midlands;Without-Work;Other
£20000-£29999;35-44;Female;South-West;Retired;Other
£15000-£19999;18-24;Male;Scotland;Self-employed-.-Freelance;Other
£20000-£29999;45-54;Male;West-Midlands;Permanent-Full-time-Employment;Other
£15000-£19999;25-34;Male;London;Permanent-Part-time-Employment;Other
£15000-£19999;25-34;Female;West-Midlands;House-Wife-Or;Other
£15000-£19999;45-54;Male;North West;Self-employed-.-Freelance;Other
£40000-£49999;25-34;Female;South-West;Retired;Other
£20000-£29999;25-34;Female;North-East;Permanent-Full-time-Employment;Other
£40000-£49999;25-34;Male;South-West;Student-Or-Internship;Other
<£10000;45-54;Male;South East;Without-Work;Other
£10000-£14999;55+;Male;South East;Student-Or-Internship;Other
<£10000;55+;Male;Yorkshire;Self-employed-.-Freelance;Other
£20000-£29999;18-24;Male;South East;Permanent-Full-time-Employment;Other
<£10000;35-44;Male;London;Permanent-Full-time-Employment;Other
£40000-£49999;55+;Male;Yorkshire;Retired;Other
£20000-£29999;45-54;Female;North West;House-Wife-Or;Other
£20000-£29999;25-34;Female;East;Permanent-Full-time-Employment;Other
£40000-£49999;55+;Male;Scotland;Permanent-Full-time-Employment;Other
£30000-£39999;45-54;Male;West-Midlands;Permanent-Part-time-Employment;Other
<£10000;55+;Male;London;Permanent-Full-time-Employment;Other
<£10000;55+;Male;East;Permanent-Full-time-Employment;Other
£10000-£14999;25-34;Male;Northern-Ireland;Permanent-Part-time-Employment;Other
£50000-£59999;18-24;Female;London;Permanent-Full-time-Employment;Other
£20000-£29999;18-24;Male;Scotland;Self-employed-.-Freelance;Other
<£10000;35-44;Female;West-Midlands;Without-Work;Other
£20000-£29999;35-44;Male;North-East;Self-employed-.-Freelance;Other
£20000-£29999;35-44;Female;East Midlands;Without-Work;Other
<£10000;18-24;Female;North West;Retired;Other
£15000-£19999;45-54;Female;North-East;Student-Or-Internship;Other
£10000-£14999;25-34;Male;London;House-Wife-Or;Other
<£10000;25-34;Male;East Midlands;Permanent-Full-time-Employment;Other
£15000-£19999;55+;Female;South East;Retired;Other
£15000-£19999;55+;Male;Scotland;Permanent-Full-time-Employment;Other
£20000-£29999;45-54;Female;Yorkshire;Permanent-Full-time-Employment;Other
<£10000;25-34;Male;West-Midlands;Permanent-Full-time-Employment;Other
£15000-£19999;55+;Female;Yorkshire;Student-Or-Internship;Other
<£10000;45-54;Male;London;Unable-to-Work;Other
<£10000;18-24;Female;South-West;Permanent-Full-time-Employment;Other
£30000-£39999;55+;Female;London;Retired;Other
£30000-£39999;55+;Female;West-Midlands;Unable-to-Work;Other
<£10000;55+;Male;London;Permanent-Full-time-Employment;Other
£20000-£29999;18-24;Female;East Midlands;House-Wife-Or;Other
<£10000;45-54;Female;East;Permanent-Full-time-Employment;Other
£20000-£29999;18-24;Male;North West;Without-Work;Other
£40000-£49999;55+;Male;East Midlands;Permanent-Full-time-Employment;Other
£10000-£14999;18-24;Male;South-West;Student-Or-Internship;Other
£20000-£29999;45-54;Male;West-Midlands;Student-Or-Internship;Other
£20000-£29999;35-44;Male;North West;Permanent-Full-time-Employment;Other
£20000-£29999;18-24;Female;South East;Student-Or-Internship;Other
£40000-£49999;45-54;Male;South-West;Permanent-Part-time-Employment;Other
£40000-£49999;35-44;Male;North West;Self-employed-.-Freelance;Other
£20000-£29999;25-34;Female;London;Permanent-Part-time-Employment;Other
<£10000;25-34;Male;North West;Student-Or-Internship;Other
£10000-£14999;55+;Male;South East;Permanent-Full-time-Employment;Other
<£10000;35-44;Female;Wales;House-Wife-Or;Other
£15000-£19999;25-34;Male;London;Retired;Other
£30000-£39999;18-24;Male;South East;Permanent-Part-time-Employment;Other
£30000-£39999;25-34;Male;London;Permanent-Full-time-Employment;Other
£20000-£29999;55+;Male;West-Midlands;Student-Or-Internship;Other
£20000-£29999;25-34;Male;East Midlands;Permanent-Full-time-Employment;Other
£30000-£39999;35-44;Male;Scotland;House-Wife-Or;Other
£20000-£29999;55+;Female;West-Midlands;Permanent-Part-time-Employment;Other
£20000-£29999;35-44;Male;Northern-Ireland;Retired;Other
£20000-£29999;35-44;Female;Northern-Ireland;Permanent-Full-time-Employment;Other
£10000-£14999;35-44;Female;London;Retired;Other
<£10000;35-44;Male;East;Student-Or-Internship;Other
£15000-£19999;25-34;Male;North West;House-Wife-Or;Other
<£10000;55+;Female;Yorkshire;Retired;Other
£20000-£29999;45-54;Female;South East;House-Wife-Or;Other
£10000-£14999;25-34;Male;London;Self-employed-.-Freelance;Other
£20000-£29999;45-54;Male;North West;Permanent-Full-time-Employment;Other
<£10000;55+;Male;London;Without-Work;Other
<£10000;35-44;Female;London;Permanent-Full-time-Employment;Other
£10000-£14999;18-24;Male;North-East;House-Wife-Or;Other
£15000-£19999;55+;Male;East Midlands;Permanent-Part-time-Employment;Other
£15000-£19999;18-24;Male;South East;Permanent-Full-time-Employment;Other
£15000-£19999;18-24;Male;North West;Retired;Other
£30000-£39999;18-24;Male;South East;Retired;Other
£10000-£14999;55+;Female;East;Student-Or-Internship;Other
£10000-£14999;55+;Female;South East;Retired;Other
<£10000;18-24;Male;Yorkshire;Retired;Other
<£10000;45-54;Female;London;House-Wife-Or;Other
£10000-£14999;35-44;Male;West-Midlands;House-Wife-Or;Other
<£10000;35-44;Female;London;Retired;Other
£60000-£69999;55+;Female;East Midlands;Permanent-Full-time-Employment;Other
£10000-£14999;35-44;Male;South-West;Student-Or-Internship;Other
£10000-£14999;55+;Female;South East;Permanent-Full-time-Employment;Other
<£10000;45-54;Female;Yorkshire;Permanent-Full-time-Employment;Other
£40000-£49999;18-24;Female;East Midlands;House-Wife-Or;Other
£15000-£19999;35-44;Female;London;Unable-to-Work;Other
£40000-£49999;45-54;Male;East;Unpaid-Employment;Other
£15000-£19999;18-24;Male;West-Midlands;Permanent-Full-time-Employment;Other
£20000-£29999;35-44;Male;East;Permanent-Full-time-Employment;Other
£20000-£29999;45-54;Male;South East;Retired;Other
£15000-£19999;25-34;Female;Yorkshire;Permanent-Full-time-Employment;Other
£30000-£39999;25-34;Female;North-East;Self-employed-.-Freelance;Other
£40000-£49999;35-44;Male;London;Retired;Other
£20000-£29999;35-44;Male;North-East;Unpaid-Employment;Other
£10000-£14999;18-24;Male;London;Permanent-Part-time-Employment;Other
£20000-£29999;18-24;Female;North West;Self-employed-.-Freelance;Other
<£10000;18-24;Female;Yorkshire;House-Wife-Or;Other
£20000-£29999;45-54;Female;Scotland;House-Wife-Or;Other
£15000-£19999;18-24;Male;South East;Unable-to-Work;Other
<£10000;25-34;Female;North-East;Self-employed-.-Freelance;Other
<£10000;45-54;Female;North West;Permanent-Full-time-Employment;Other
£10000-£14999;25-34;Male;Yorkshire;Without-Work;Other
£10000-£14999;35-44;Female;North-East;Permanent-Part-time-Employment;Other
£20000-£29999;25-34;Male;East;Permanent-Full-time-Employment;Other
£20000-£29999;35-44;Female;North West;Permanent-Full-time-Employment;Other
<£10000;18-24;Male;South-West;Without-Work;Other
<£10000;18-24;Male;North West;Retired;Other
£10000-£14999;18-24;Male;South East;Unable-to-Work;Other
£40000-£49999;18-24;Female;South East;Permanent-Full-time-Employment;Other
<£10000;18-24;Male;North West;Permanent-Full-time-Employment;Other
£10000-£14999;35-44;Male;South East;Permanent-Full-time-Employment;Other
£20000-£29999;45-54;Male;Northern-Ireland;Permanent-Full-time-Employment;Other
£20000-£29999;45-54;Male;North West;Permanent-Full-time-Employment;Other
£10000-£14999;25-34;Female;East;Permanent-Full-time-Employment;Other
£15000-£19999;35-44;Female;London;Retired;Other
£20000-£29999;25-34;Female;East;Student-Or-Internship;Other
<£10000;55+;Male;Yorkshire;Student-Or-Internship;Other
<£10000;55+;Male;Scotland;Permanent-Part-time-Employment;Other
<£10000;35-44;Male;North West;Retired;Other
